比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,116,014543,汇添富中证沪,07-01,1.1577,1.1577,-0.84%,3.87%,9.30%,2.72%,14.84%,49.09%,12.37%,48.37%,14.84%,15.77%,49.09%,0.10%,
,117,019814,民生加银国证,07-01,1.3980,1.3980,0.45%,2.67%,6.67%,8.46%,17.71%,49.06%,---,---,17.71%,39.80%,49.06%,0.15%,
,118,167506,安信深圳科技,07-01,1.3025,1.3025,0.22%,3.66%,6.88%,0.09%,8.93%,48.99%,18.13%,17.84%,8.93%,30.25%,48.99%,0.12%,
,119,020837,华夏创业板中,07-01,1.3209,1.3209,-0.06%,3.16%,8.32%,4.42%,11.68%,48.80%,---,---,11.68%,32.09%,48.80%,0.12%,
,120,014418,西部利得CE,07-01,0.8448,0.8448,-0.55%,2.02%,4.40%,-0.64%,5.11%,48.71%,20.84%,9.39%,5.11%,-15.52%,48.71%,0.12%,
,121,167507,安信深圳科技,07-01,1.2844,1.2844,0.21%,3.66%,6.85%,0.02%,8.79%,48.62%,17.53%,16.96%,8.79%,28.44%,48.62%,0.00%,
,122,019815,民生加银国证,07-01,1.3917,1.3917,0.45%,2.66%,6.64%,8.38%,17.52%,48.61%,---,---,17.52%,39.17%,48.61%,0.00%,
,123,018661,大成中证10,07-01,1.1923,1.1923,0.48%,2.63%,5.96%,6.43%,15.88%,48.44%,---,---,15.88%,19.23%,48.44%,0.15%,
,124,014544,汇添富中证沪,07-01,1.1453,1.1453,-0.84%,3.86%,9.27%,2.65%,14.66%,48.37%,11.54%,46.95%,14.66%,14.53%,48.37%,0.00%,
,125,020838,华夏创业板中,07-01,1.3154,1.3154,-0.07%,3.14%,8.29%,4.34%,11.50%,48.33%,---,---,11.50%,31.54%,48.33%,0.00%,
,126,014419,西部利得CE,07-01,0.8330,0.8330,-0.55%,2.01%,4.36%,-0.73%,4.91%,48.12%,19.87%,8.08%,4.91%,-16.70%,48.12%,0.00%,
,127,020422,华夏中证港股,07-01,1.6834,1.6834,-0.08%,-1.48%,8.47%,11.84%,19.42%,48.06%,---,---,19.42%,68.34%,48.06%,0.10%,
,128,018662,大成中证10,07-01,1.1832,1.1832,0.48%,2.62%,5.93%,6.32%,15.66%,47.86%,---,---,15.66%,18.32%,47.86%,0.00%,
,129,021614,华泰紫金中证,07-01,1.4777,1.4777,-1.64%,3.22%,5.92%,0.65%,5.14%,47.81%,---,---,5.14%,47.77%,---,0.06%,
