比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,224,016952,鹏华中证港股,07-01,1.2098,1.2098,-0.07%,-0.44%,1.04%,-1.11%,18.03%,42.28%,21.25%,---,18.03%,20.98%,42.28%,0.10%,
,225,502053,长盛中证证券,07-01,1.1131,1.1131,-0.42%,2.54%,7.88%,4.21%,-2.69%,42.25%,29.64%,19.51%,-2.69%,25.66%,42.25%,0.12%,
,226,020989,南方恒生科技,07-01,1.3170,1.3170,-0.08%,-0.02%,1.91%,-3.16%,15.57%,42.24%,---,---,15.57%,31.70%,42.24%,0.00%,
,227,015311,华泰柏瑞恒生,07-01,1.2443,1.2443,-0.06%,-0.02%,1.79%,-3.08%,14.79%,42.21%,28.23%,---,14.79%,24.43%,42.21%,0.00%,
,228,018578,摩根恒生科技,07-01,1.2262,1.2262,-0.07%,0.18%,2.59%,-2.53%,15.35%,42.20%,---,---,15.35%,22.62%,---,0.00%,
,229,015598,国泰中证申万,07-01,1.2251,1.2251,-0.44%,2.59%,7.82%,3.99%,-3.05%,42.11%,28.62%,18.46%,-3.05%,30.64%,42.11%,0.00%,
,230,016937,博时中证10,07-01,1.2699,1.2699,0.51%,2.98%,7.92%,6.00%,15.39%,42.09%,23.44%,---,15.39%,26.99%,42.09%,0.00%,
,231,012552,天弘中证芯片,07-01,0.8085,0.8085,-0.54%,2.03%,4.13%,-0.83%,2.48%,42.07%,14.88%,5.60%,2.48%,-19.15%,42.07%,0.10%,
,232,020403,易方达国证信,07-01,1.4068,1.4068,-0.99%,2.11%,3.99%,-1.81%,2.16%,42.07%,---,---,2.16%,40.68%,42.07%,0.12%,
,233,161027,富国中证全指,07-01,1.0740,0.6430,-0.37%,2.58%,7.83%,3.97%,-3.16%,42.06%,27.71%,17.25%,-3.16%,-32.06%,42.06%,0.12%,
,234,021556,长盛中证证券,07-01,1.1113,1.1113,-0.41%,2.55%,7.86%,4.16%,-2.78%,42.02%,---,---,-2.78%,33.19%,42.02%,0.00%,
,235,016953,鹏华中证港股,07-01,1.2034,1.2034,-0.07%,-0.45%,1.03%,-1.16%,17.92%,41.99%,20.63%,---,17.92%,20.34%,41.99%,0.00%,
,236,015922,申万菱信国证,07-01,1.0914,1.0914,0.53%,2.06%,5.50%,6.00%,14.44%,41.89%,5.85%,---,14.44%,9.14%,41.89%,0.00%,
,237,012629,广发国证半导,07-01,0.7463,0.7463,-0.71%,1.52%,3.44%,-1.19%,-0.31%,41.88%,16.48%,-4.05%,-0.31%,-25.37%,41.88%,0.12%,
,238,012553,天弘中证芯片,07-01,0.8022,0.8022,-0.53%,2.04%,4.11%,-0.89%,2.39%,41.78%,14.40%,4.97%,2.39%,-19.78%,41.78%,0.00%,
,239,502010,易方达中证全,07-01,1.2995,0.8713,-0.44%,2.56%,7.84%,3.94%,-3.18%,41.76%,27.58%,16.91%,-3.18%,-11.13%,41.76%,0.10%,
,240,161720,招商中证全指,07-01,1.1967,0.7563,-0.43%,2.55%,7.86%,3.94%,-3.30%,41.71%,27.24%,16.46%,-3.30%,-29.41%,41.71%,0.10%,
,241,002900,南方中证50,07-01,1.2043,1.2043,-0.04%,4.17%,8.63%,1.71%,10.36%,41.68%,9.27%,16.71%,10.36%,20.43%,41.68%,0.12%,
,242,020404,易方达国证信,07-01,1.4008,1.4008,-0.99%,2.11%,3.96%,-1.88%,2.01%,41.67%,---,---,2.01%,40.08%,41.67%,0.00%,
,243,165524,中信保诚中证,07-01,0.9863,0.6494,0.03%,2.80%,6.05%,-3.07%,5.32%,41.65%,17.68%,23.58%,5.32%,-34.35%,41.65%,0.10%,
,244,013276,富国中证全指,07-01,1.0650,1.0650,-0.47%,2.60%,7.79%,3.90%,-3.27%,41.62%,27.09%,16.39%,-3.27%,4.11%,41.62%,0.00%,
,245,013597,招商中证全指,07-01,1.1925,1.1925,-0.44%,2.55%,7.85%,3.91%,-3.35%,41.58%,27.00%,16.13%,-3.35%,-9.38%,41.58%,0.00%,
,246,017094,易方达中证1,07-01,1.1438,1.1438,0.30%,3.05%,7.64%,5.42%,13.26%,41.58%,13.66%,---,13.26%,14.38%,41.58%,0.15%,
,247,013445,东财芯片A,07-01,0.8752,0.8752,-0.53%,1.86%,3.97%,-1.13%,1.86%,41.55%,15.10%,5.78%,1.86%,-12.48%,41.55%,0.12%,
,248,018653,万家国证20,07-01,1.1804,1.1804,0.49%,3.13%,8.38%,8.93%,18.38%,41.52%,---,---,18.38%,18.04%,41.52%,0.12%,
,249,019013,景顺长城国证,07-01,1.2317,1.2317,0.36%,3.50%,7.98%,7.28%,15.72%,41.48%,---,---,15.72%,23.17%,41.48%,0.12%,
,250,163113,申万菱信中证,07-01,0.9622,2.0011,-0.43%,2.56%,7.76%,3.86%,-3.40%,41.46%,27.04%,16.00%,-3.40%,46.03%,41.46%,0.12%,
,3501,024329,易方达恒生港,07-01,1.0101,1.0101,-0.07%,-1.64%,---,---,---,---,---,---,---,1.01%,1.01%,0.00%,
,3502,024328,易方达恒生港,07-01,1.0102,1.0102,-0.07%,-1.64%,---,---,---,---,---,---,---,1.02%,1.02%,0.12%,
,3503,023536,博时中证金融,07-01,0.9999,0.9999,0.00%,---,---,---,---,---,---,---,---,-0.01%,-0.01%,0.10%,
,3504,023755,永赢中证A5,07-01,1.0007,1.0007,0.07%,---,---,---,---,---,---,---,---,0.07%,0.07%,0.10%,
,3505,023885,华夏中证金融,07-01,1.1007,1.1007,-2.50%,4.74%,---,---,---,---,---,---,---,10.07%,10.07%,0.00%,
,3506,024642,华夏中证银行,07-01,1.7017,1.7017,1.42%,-1.56%,---,---,---,---,---,---,---,-1.56%,-1.56%,0.00%,
,3507,024609,平安上证18,07-01,1.0252,1.0252,0.12%,---,---,---,---,---,---,---,---,-0.16%,-0.16%,0.00%,
,3508,023756,永赢中证A5,07-01,1.0007,1.0007,0.07%,---,---,---,---,---,---,---,---,0.07%,0.07%,0.00%,
,3509,024348,中欧国证通用,07-01,1.0206,1.0206,-0.66%,---,---,---,---,---,---,---,---,2.06%,2.06%,0.10%,
,3510,024349,中欧国证通用,07-01,1.0205,1.0205,-0.66%,---,---,---,---,---,---,---,---,2.05%,2.05%,0.00%,
,3511,024273,华夏中证农业,07-01,0.7566,0.7566,0.73%,---,---,---,---,---,---,---,---,0.92%,0.92%,0.00%,
,3512,024263,华夏中证红利,07-01,1.0794,1.0794,0.59%,---,---,---,---,---,---,---,---,1.96%,1.96%,0.00%,
,3513,024392,民生加银中债,07-01,1.1248,1.1248,0.04%,0.04%,---,---,---,---,---,---,---,0.20%,0.20%,0.00%,
,3514,024544,平安中证港股,07-01,1.0909,1.0909,-0.15%,-1.53%,---,---,---,---,---,---,---,-4.31%,-4.31%,0.00%,
,3515,024504,平安中证新能,07-01,0.5984,0.5984,-0.45%,0.57%,---,---,---,---,---,---,---,3.37%,3.37%,0.00%,
,3516,023884,华夏中证金融,07-01,1.1008,1.1008,-2.50%,4.74%,---,---,---,---,---,---,---,10.08%,10.08%,0.10%,
,3517,022727,南方中债3-,07-01,1.1191,1.2721,0.03%,0.01%,0.41%,1.43%,0.59%,---,---,---,0.59%,1.93%,1.93%,0.07%,
,3518,024246,广发上证科创,07-01,0.9947,0.9947,-1.09%,2.32%,---,---,---,---,---,---,---,-0.53%,-0.53%,0.00%,
,3519,024491,平安中证A5,07-01,1.1362,1.1362,0.05%,0.83%,---,---,---,---,---,---,---,1.09%,1.09%,0.00%,
,3520,023883,华夏创业板5,07-01,1.0168,1.0168,-0.28%,---,---,---,---,---,---,---,---,1.68%,1.68%,0.00%,
,3521,024556,平安500E,07-01,1.1370,1.1370,0.32%,2.91%,---,---,---,---,---,---,---,5.09%,5.09%,0.00%,
,3522,024042,富国恒生A股,07-01,1.0575,1.0575,0.21%,3.67%,5.83%,---,---,---,---,---,---,5.75%,5.75%,0.12%,
,3523,024364,华富中证港股,07-01,0.9984,0.9984,-0.07%,-2.25%,---,---,---,---,---,---,---,-0.16%,-0.16%,0.00%,
,3524,024543,平安MSCI,07-01,1.4848,1.4848,0.21%,1.25%,---,---,---,---,---,---,---,2.70%,2.70%,0.00%,
,3525,024546,平安300E,07-01,1.2272,1.2272,0.16%,1.25%,---,---,---,---,---,---,---,2.08%,2.08%,0.00%,
,3526,020618,中银新华中诚,07-01,1.0056,1.0056,0.47%,0.00%,0.20%,---,---,---,---,---,---,0.56%,0.56%,0.00%,
,3527,023826,华商中证50,07-01,1.0341,1.0341,0.24%,---,---,---,---,---,---,---,---,3.41%,3.41%,0.12%,
,3528,023882,华夏创业板5,07-01,1.0168,1.0168,-0.29%,---,---,---,---,---,---,---,---,1.68%,1.68%,0.10%,
,3529,024365,华富华证沪深,07-01,0.9979,0.9979,0.10%,-1.67%,---,---,---,---,---,---,---,-0.21%,-0.21%,0.12%,
,3530,024363,华富中证港股,07-01,0.9987,0.9987,-0.07%,-2.24%,---,---,---,---,---,---,---,-0.13%,-0.13%,0.12%,
,3531,024366,华富华证沪深,07-01,0.9977,0.9977,0.10%,-1.68%,---,---,---,---,---,---,---,-0.23%,-0.23%,0.00%,
,3532,023480,万家中证全指,07-01,1.0007,1.0007,0.12%,---,0.07%,---,---,---,---,---,---,0.07%,0.07%,0.00%,
,3533,024341,银华中债1-,07-01,1.0625,1.0705,0.03%,0.04%,0.31%,---,---,---,---,---,---,0.32%,0.32%,0.05%,
,3534,022291,兴业中证红利,07-01,1.0007,1.0007,0.07%,---,0.07%,---,---,---,---,---,---,0.07%,0.07%,0.00%,
,3535,023055,富国上证科创,07-01,0.9167,0.9167,-0.81%,1.53%,1.80%,-2.55%,---,---,---,---,---,-8.33%,-8.33%,0.12%,
,3536,024690,民生加银中债,07-01,1.0688,1.0688,0.04%,---,---,---,---,---,---,---,---,0.01%,0.01%,0.00%,
,3537,024628,华夏房地产E,07-01,0.6258,0.6258,-0.48%,0.22%,---,---,---,---,---,---,---,0.22%,0.22%,0.00%,
,3538,024542,平安中证汽车,07-01,0.9366,0.9366,-0.49%,1.14%,---,---,---,---,---,---,---,2.79%,2.79%,0.00%,
,3539,022350,嘉实中证全指,07-01,1.0385,1.0385,-0.70%,2.23%,---,---,---,---,---,---,---,3.85%,3.85%,0.10%,
,3540,024629,华夏中证新能,07-01,0.5288,0.5288,-0.49%,-0.34%,---,---,---,---,---,---,---,-0.34%,-0.34%,0.00%,
,3541,024610,平安中证人工,07-01,1.0344,1.0344,-0.96%,3.24%,---,---,---,---,---,---,---,5.39%,5.39%,0.00%,
,3542,024545,平安富时中国,07-01,1.0174,1.0174,0.22%,-0.22%,---,---,---,---,---,---,---,-0.07%,-0.07%,0.00%,
,3543,023941,永赢上证科创,07-01,1.0286,1.0286,-0.10%,2.40%,2.86%,---,---,---,---,---,---,2.86%,2.86%,0.10%,
,3544,024643,华夏食品饮料,07-01,0.6623,0.6623,-0.09%,-0.38%,---,---,---,---,---,---,---,-0.38%,-0.38%,0.00%,
,3545,024607,兴业中债1-,07-01,1.1037,1.1037,0.02%,0.04%,---,---,---,---,---,---,---,0.00%,0.00%,0.06%,
,3546,024557,平安中证消费,07-01,1.0583,1.0583,-0.25%,2.45%,---,---,---,---,---,---,---,4.61%,4.61%,0.00%,
,3547,024492,平安创业板E,07-01,1.2086,1.2086,-0.21%,3.86%,---,---,---,---,---,---,---,5.19%,5.19%,0.00%,
,3548,024611,平安上证红利,07-01,1.1374,1.1374,0.74%,-0.04%,---,---,---,---,---,---,---,-0.04%,-0.04%,0.00%,
,3549,024618,平安中证光伏,07-01,0.4784,0.4784,-0.33%,---,---,---,---,---,---,---,---,2.90%,2.90%,0.00%,
