比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,246,009708,工银新兴制造,07-01,1.8368,1.8368,-0.44%,1.28%,5.25%,-0.51%,6.99%,49.53%,39.03%,33.49%,6.99%,83.68%,49.53%,0.00%,
,247,018590,银华体育文化,07-01,1.6560,1.6560,-0.06%,4.22%,12.42%,11.29%,16.78%,49.46%,-13.62%,---,16.78%,-18.34%,49.46%,0.00%,
,248,013914,大成红利优选,07-01,1.2700,1.2700,0.44%,2.27%,2.32%,3.54%,7.75%,49.41%,21.68%,---,7.75%,27.00%,49.41%,0.15%,
,249,019092,金鹰核心资源,07-01,2.2622,2.2622,0.31%,4.58%,12.04%,5.97%,18.60%,49.40%,---,---,18.60%,42.88%,49.40%,0.00%,
,250,004666,长城久嘉创新,07-01,1.9431,1.9431,0.28%,8.80%,13.32%,10.79%,15.72%,49.37%,16.50%,18.57%,15.72%,94.31%,49.37%,0.15%,
,7801,022417,汇添富弘盛回,07-01,1.0010,1.0010,0.04%,-0.07%,0.29%,---,---,---,---,---,---,0.10%,0.10%,0.00%,
,7802,022572,汇添富弘达回,07-01,1.0127,1.0127,0.17%,0.34%,1.27%,---,---,---,---,---,---,1.27%,1.27%,0.15%,
,7803,022573,汇添富弘达回,07-01,1.0122,1.0122,0.17%,0.33%,1.23%,---,---,---,---,---,---,1.22%,1.22%,0.00%,
,7804,023350,诺安多策略混,07-01,2.7260,2.7260,0.59%,3.14%,9.21%,22.02%,---,---,---,---,---,30.18%,30.18%,0.00%,
,7805,024229,国新国证新利,07-01,0.7960,0.7960,-0.13%,0.38%,0.89%,---,---,---,---,---,---,1.79%,1.79%,0.00%,
,7806,024224,国新国证新锐,07-01,1.3890,1.3890,-0.64%,2.28%,4.59%,---,---,---,---,---,---,1.91%,1.91%,0.00%,
,7807,022416,汇添富弘盛回,07-01,1.0015,1.0015,0.04%,-0.06%,0.33%,---,---,---,---,---,---,0.15%,0.15%,0.15%,
,7808,022038,兴银数字经济,07-01,1.1843,1.1843,0.43%,4.84%,9.52%,2.62%,10.98%,---,---,---,10.98%,18.43%,18.43%,0.15%,
,7809,015400,弘毅远方甄选,07-01,0.9677,0.9677,-0.63%,0.57%,2.50%,-2.36%,---,---,---,---,---,-3.23%,-3.23%,0.15%,
,7810,023452,中欧信息科技,07-01,1.0798,1.0798,0.87%,9.80%,14.97%,10.23%,---,---,---,---,---,7.98%,7.98%,0.00%,
,7811,021966,泓德智选启鑫,07-01,1.0567,1.0567,0.44%,2.00%,5.25%,6.54%,---,---,---,---,---,5.67%,5.67%,0.00%,
,7812,023675,德邦新兴产业,07-01,1.0503,1.0503,-0.20%,7.70%,7.96%,6.28%,---,---,---,---,---,5.03%,5.03%,0.00%,
,7813,022237,融通央企精选,07-01,1.0275,1.0275,0.45%,0.78%,3.33%,2.76%,---,---,---,---,---,2.75%,2.75%,0.15%,
,7814,023289,国泰多策略收,07-01,1.4746,1.4746,0.10%,0.07%,0.37%,1.21%,---,---,---,---,---,2.47%,2.47%,0.00%,
,7815,023750,国富兴海回报,07-01,1.0755,1.0755,0.20%,-0.35%,2.26%,3.19%,---,---,---,---,---,2.00%,2.00%,0.00%,
,7816,023045,太平科技先锋,07-01,0.9872,0.9872,-1.12%,1.45%,-0.50%,-1.28%,---,---,---,---,---,-1.28%,-1.28%,0.00%,
,7817,023269,景顺长城量化,07-01,0.8746,0.8746,0.19%,2.33%,4.42%,2.10%,---,---,---,---,---,6.59%,6.59%,0.00%,
,7818,024159,大成港股通机,07-01,1.0183,1.0183,-0.04%,0.07%,1.79%,---,---,---,---,---,---,1.83%,1.83%,0.15%,
,7819,021094,东方低碳经济,07-01,1.0591,1.0591,2.12%,3.96%,3.43%,5.91%,---,---,---,---,---,5.91%,5.91%,0.15%,
,7820,021095,东方低碳经济,07-01,1.0573,1.0573,2.11%,3.94%,3.37%,5.77%,---,---,---,---,---,5.73%,5.73%,0.00%,
,7821,023099,金信周期价值,07-01,1.1260,1.1260,0.47%,2.50%,6.59%,12.50%,---,---,---,---,---,12.60%,12.60%,0.15%,
,7822,021727,泓德智选启诚,07-01,1.1002,1.1002,0.42%,2.11%,5.32%,10.43%,---,---,---,---,---,10.02%,10.02%,0.00%,
,7823,022493,金元顺安鑫怡,07-01,0.9830,0.9830,0.17%,1.00%,1.29%,0.76%,---,---,---,---,---,-1.70%,-1.70%,0.00%,
,7824,021967,西部利得均衡,07-01,1.1260,1.1260,0.37%,2.84%,7.50%,6.53%,---,---,---,---,---,12.60%,12.60%,0.15%,
,7825,023667,汇丰晋信20,07-01,1.2558,1.2558,0.23%,0.58%,1.26%,2.31%,---,---,---,---,---,2.16%,2.16%,0.075%,
,7826,022598,富国红利质选,07-01,1.0033,1.0033,0.38%,0.13%,0.02%,---,---,---,---,---,---,0.33%,0.33%,0.00%,
,7827,023560,富达创新驱动,07-01,1.0622,1.0622,-0.64%,4.07%,7.53%,6.85%,---,---,---,---,---,6.22%,6.22%,0.15%,
,7828,023561,富达创新驱动,07-01,1.0605,1.0605,-0.64%,4.05%,7.48%,6.68%,---,---,---,---,---,6.05%,6.05%,0.00%,
,7829,020976,万家科技量化,07-01,1.2285,1.2285,-0.19%,1.81%,7.26%,8.42%,18.70%,---,---,---,18.70%,22.85%,22.85%,0.00%,
,7830,024260,长信汇智量化,07-01,0.9577,0.9577,0.32%,1.65%,4.22%,---,---,---,---,---,---,4.22%,4.22%,0.00%,
,7831,024499,兴华景和混合,07-01,1.0242,1.0242,0.30%,2.36%,---,---,---,---,---,---,---,2.42%,2.42%,0.15%,
,7832,024500,兴华景和混合,07-01,1.0240,1.0240,0.30%,2.35%,---,---,---,---,---,---,---,2.40%,2.40%,0.00%,
,7833,024202,永赢制造升级,07-01,1.0065,1.0065,3.51%,5.81%,---,---,---,---,---,---,---,0.65%,0.65%,0.15%,
,7834,024344,汇添富创新医,07-01,1.7144,1.7144,2.87%,0.75%,7.06%,---,---,---,---,---,---,7.06%,7.06%,0.00%,
,7835,024358,东方阿尔法健,07-01,0.9886,0.9886,4.11%,2.11%,---,---,---,---,---,---,---,-1.14%,-1.14%,0.00%,
,7836,023449,上银资源精选,07-01,1.0584,1.0584,0.77%,1.93%,5.52%,6.65%,---,---,---,---,---,5.84%,5.84%,0.00%,
,7837,024203,永赢制造升级,07-01,1.0062,1.0062,3.51%,5.80%,---,---,---,---,---,---,---,0.62%,0.62%,0.00%,
,7838,024388,中航智选领航,07-01,0.9909,0.9909,-0.64%,-1.27%,---,---,---,---,---,---,---,-0.91%,-0.91%,0.15%,
,7839,024389,中航智选领航,07-01,0.9904,0.9904,-0.65%,-1.29%,---,---,---,---,---,---,---,-0.96%,-0.96%,0.00%,
,7840,019127,华泰柏瑞港股,07-01,1.0052,1.0052,0.40%,-2.02%,---,---,---,---,---,---,---,0.52%,0.52%,0.00%,
,7841,019126,华泰柏瑞港股,07-01,1.0053,1.0053,0.40%,-2.02%,---,---,---,---,---,---,---,0.53%,0.53%,0.15%,
,7842,013033,泰信智选量化,07-01,1.0542,1.0542,0.40%,2.45%,6.16%,---,---,---,---,---,---,5.42%,5.42%,0.15%,
,7843,024423,东方阿尔法科,07-01,0.9918,0.9918,-0.12%,0.90%,---,---,---,---,---,---,---,-0.82%,-0.82%,0.15%,
,7844,024424,东方阿尔法科,07-01,0.9915,0.9915,-0.12%,0.90%,---,---,---,---,---,---,---,-0.85%,-0.85%,0.00%,
,7845,024210,建信鑫稳回报,07-01,1.2830,1.2830,0.17%,0.34%,0.83%,---,---,---,---,---,---,0.94%,0.94%,0.15%,
,7846,024608,上银新兴价值,07-01,1.0580,1.0580,0.38%,1.34%,---,---,---,---,---,---,---,2.03%,2.03%,0.00%,
,7847,024211,建信鑫稳回报,07-01,1.2707,1.2707,0.18%,0.34%,0.83%,---,---,---,---,---,---,0.94%,0.94%,0.00%,
,7848,024357,东方阿尔法健,07-01,0.9889,0.9889,4.11%,2.12%,---,---,---,---,---,---,---,-1.11%,-1.11%,0.15%,
,7849,024661,国联鑫价值混,07-01,0.9930,0.9930,0.12%,0.25%,---,---,---,---,---,---,---,0.43%,0.43%,0.08%,
