比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,132,015880,中欧小盘成长,07-01,1.3072,1.3072,0.58%,3.68%,8.25%,14.30%,26.75%,56.95%,27.44%,30.73%,26.75%,30.72%,56.95%,0.15%,
,133,014143,银河创新成长,07-01,6.3241,6.3241,-1.26%,0.88%,1.83%,0.07%,2.84%,56.91%,24.27%,1.97%,2.84%,-26.23%,56.91%,0.00%,
,134,020087,鹏华智投数字,07-01,1.5580,1.5580,0.03%,3.29%,8.26%,7.40%,21.64%,56.79%,---,---,21.64%,55.80%,56.79%,0.00%,
,135,016067,鹏华新能源汽,07-01,0.8234,0.8234,-0.41%,1.09%,4.72%,-1.41%,17.41%,56.54%,18.05%,---,17.41%,-17.66%,56.54%,0.15%,
,136,001198,东方惠新灵活,07-01,1.0787,1.3089,0.81%,2.78%,8.82%,-1.77%,9.12%,56.29%,41.04%,9.10%,9.12%,31.11%,56.29%,0.08%,
,137,006025,诺安优化配置,07-01,1.8654,1.8654,0.54%,4.06%,7.57%,3.84%,4.67%,56.17%,15.05%,34.19%,4.67%,86.54%,56.17%,0.15%,
,138,017911,华泰柏瑞新经,07-01,1.4123,1.4123,0.06%,2.26%,7.44%,3.99%,27.73%,56.14%,2.19%,---,27.73%,-15.88%,56.14%,0.00%,
,139,005142,国联沪港深大,07-01,0.8482,0.8482,-0.08%,0.99%,5.20%,8.94%,34.15%,56.06%,24.97%,14.59%,34.15%,-15.18%,56.06%,0.15%,
,140,010584,渤海汇金新动,07-01,1.0786,1.0786,0.44%,2.75%,6.91%,16.91%,28.79%,56.05%,17.46%,16.39%,28.79%,7.86%,56.05%,0.12%,
,141,015881,中欧小盘成长,07-01,1.2839,1.2839,0.59%,3.67%,8.20%,14.13%,26.38%,56.02%,25.92%,28.42%,26.38%,28.39%,56.02%,0.00%,
,142,004890,中邮健康文娱,07-01,2.5256,2.5256,0.41%,4.72%,16.32%,8.24%,17.33%,55.93%,25.75%,36.07%,17.33%,152.56%,55.93%,0.15%,
,143,007343,嘉实科技创新,07-01,2.7372,2.7372,-0.16%,1.47%,4.85%,0.89%,19.35%,55.85%,40.51%,21.23%,19.35%,173.72%,55.85%,0.15%,
,144,002163,东方惠新灵活,07-01,1.0720,2.3159,0.80%,2.77%,8.79%,-1.85%,8.95%,55.79%,40.31%,8.52%,8.95%,142.37%,55.79%,0.00%,
,145,519029,华夏稳增混合,07-01,2.9130,3.7180,0.28%,3.48%,5.28%,3.67%,18.95%,55.69%,16.10%,31.93%,18.95%,455.56%,55.69%,0.15%,
,146,005143,国联沪港深大,07-01,0.8360,0.8360,-0.10%,0.98%,5.17%,8.90%,34.04%,55.65%,24.37%,13.83%,34.04%,-16.40%,55.65%,0.00%,
,147,016068,鹏华新能源汽,07-01,0.8091,0.8091,-0.41%,1.09%,4.67%,-1.56%,17.07%,55.60%,16.65%,---,17.07%,-19.09%,55.60%,0.00%,
,148,007484,信澳核心科技,07-01,1.4386,2.0785,-1.63%,1.12%,5.59%,2.84%,15.34%,55.49%,-0.99%,-9.02%,15.34%,100.82%,55.49%,0.15%,
,149,010220,海富通消费核,07-01,1.0621,1.0621,2.17%,2.49%,2.85%,14.24%,21.61%,55.39%,31.84%,17.61%,21.61%,6.21%,55.39%,0.15%,
